Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp
best bath showers,1,1,170,75.86,3.8,https://bestbath.com/,136,0.64,516,1,107000000,"[81,67,67,52,67,67,100,52,52,81,81,81]",1561066412
bathtub shower,8,8,4400,84.6,1.1,https://bestbath.com/products/tubs/shower-tub-combos/,132,0.62,145,1,519000000,"[81,67,67,81,81,81,81,81,81,100,100,100]",1562805823
shower base sizes,5,5,2400,76.43,0.92,https://bestbath.com/products/showers/pans/,120,0.56,110,1,194000000,"[81,36,28,36,81,81,36,52,67,100,100,67]",1560962654
tub and shower combo,7,7,2900,86.03,0.72,https://bestbath.com/products/tubs/shower-tub-combos/,116,0.54,83,1,175000000,"[55,66,55,55,66,66,66,66,55,100,82,82]",1562805178
one piece bathtub shower combo,4,4,1600,78.45,0.8,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,112,0.52,89,1,3820000,"[100,67,67,54,67,67,67,67,54,79,79,79]",1560963429
garden tub,14,14,14800,83.7,0.69,https://bestbath.com/products/tubs/garden-tubs/,103,0.48,71,1,394000000,"[100,82,82,82,82,67,82,67,82,100,100,100]",1562812371
shower base options,1,1,210,74.95,1.17,https://bestbath.com/types-shower-pans/,98,0.46,115,1,98600000,"[23,29,23,35,29,35,35,54,35,100,81,67]",1561050376
stand up shower base,5,5,1900,78.83,0.74,https://bestbath.com/products/showers/pans/,95,0.44,70,1,93100000,"[100,68,84,100,100,84,100,84,84,84,100,100]",1560960950
bathtub and shower combo,5,5,1900,86.24,0.91,https://bestbath.com/products/tubs/shower-tub-combos/,95,0.44,86,1,137000000,"[79,79,54,67,67,54,67,67,67,100,100,100]",1560960795
ada shower stall,3,3,1000,70.82,2.75,https://bestbath.com/products/showers/,90,0.42,247,1,1310000,"[45,55,68,68,77,68,100,77,77,100,100,100]",1560969939
bestbath com,1,1,110,74.98,2.85,https://bestbath.com/,88,0.41,250,0.62,1990000,"[100,41,65,65,52,52,65,52,52,65,52,65]",1561118755
shower models,1,1,170,70.57,0.93,https://bestbath.com/product-gallery/,79,0.37,74,1,272000000,"[100,81,67,100,81,81,67,67,52,81,81,81]",1561072083
shower pan material,1,1,170,75.16,1.45,https://bestbath.com/types-shower-pans/,79,0.37,115,1,62600000,"[81,65,54,81,54,65,65,65,65,81,81,100]",1561068979
barrier free shower,3,3,880,68.53,2.88,https://bestbath.com/products/showers/barrier-free/,79,0.37,228,1,36500000,"[100,100,82,100,100,82,100,82,82,100,82,100]",1560975143
water barrier for shower floor,1,1,170,75.99,0.68,https://bestbath.com/waterstopper/,79,0.37,54,1,14200000,"[81,65,81,81,100,65,81,65,42,81,42,54]",1561072182
handicap showers and tubs,1,1,170,66.39,5.55,https://bestbath.com/,79,0.37,443,1,1410000,"[100,65,54,65,65,54,65,100,35,54,35,35]",1561066390
walk in shower pan,2,2,590,77.63,1.39,https://bestbath.com/products/showers/pans/,76,0.35,106,1,26200000,"[55,44,55,55,67,55,67,82,67,100,67,67]",1560986093
walk in shower base,2,2,590,75.19,1.11,https://bestbath.com/products/showers/pans/,76,0.35,85,1,70800000,"[72,48,48,58,58,58,58,58,72,100,72,72]",1560986601
shower base with seat,11,11,1600,72.73,0.75,https://bestbath.com/products/showers/pans/,75,0.35,56,1,73200000,"[100,67,54,67,67,67,79,67,42,67,67,79]",1560963337
best bath systems grab bars,1,1,90,68.71,0.68,https://bestbath.com/products/grab-bars/,72,0.33,48,1,26600000,"[33,33,33,33,100,67,0,33,33,33,33,33]",1561162903
tub and shower,8,8,2400,80.86,0.87,https://bestbath.com/products/tubs/shower-tub-combos/,72,0.33,62,1,1270000000,"[83,55,66,83,66,66,66,66,66,100,100,83]",1560959335
best bath shower pans,1,1,90,63.81,1.62,https://bestbath.com/products/showers/pans/,72,0.33,116,0.99,34200000,"[36,50,50,79,100,79,64,79,50,79,79,100]",1561160174
water stopper for walk in shower,1,1,140,54.4,0.44,https://bestbath.com/waterstopper/,65,0.3,28,1,1920000,"[67,67,81,81,81,100,81,67,81,52,33,33]",1561097748
accessible shower stall,1,1,140,63.36,3.35,https://bestbath.com/products/showers/,65,0.3,220,1,4340000,"[65,54,54,100,54,65,65,54,35,35,19,27]",1561088699
commercial shower stalls,1,1,140,63.53,2.17,https://bestbath.com/,65,0.3,142,1,3870000,"[43,52,52,43,67,52,100,52,52,81,67,67]",1561089612
shower floor pan,7,7,1600,84.44,0.91,https://bestbath.com/products/showers/pans/,64,0.3,58,1,48500000,"[68,68,52,68,84,68,68,52,68,100,84,100]",1560962765
shower water stopper,2,2,480,58.65,0.7,https://bestbath.com/water-stopper/,62,0.29,43,1,9760000,"[66,81,81,81,100,100,81,66,66,81,66,66]",1560994243
water stopper,2,2,480,66.79,0.8,https://bestbath.com/product/waterstopper-kit/,62,0.29,49,1,86600000,"[81,100,81,81,81,81,81,81,81,81,81,81]",1560994127
best bath shower systems,1,1,70,76.86,5.92,https://bestbath.com/,56,0.26,331,0.95,78600000,"[40,20,20,20,20,20,100,40,20,100,40,20]",1561226172
best bath systems inc,1,1,70,62.67,0,https://bestbath.com/,56,0.26,0,0.12,149000000,"[33,33,33,33,33,67,100,33,33,100,67,33]",1562756780
bestbath caldwell,1,1,110,82.14,5,https://bestbath.com/about-bestbath/,51,0.24,258,0.3,22400,"[12,18,52,100,100,65,65,29,41,82,82,82]",1561116865
ada walk in showers,1,1,110,59.35,2.65,https://bestbath.com/,51,0.24,137,1,2680000,"[64,50,36,79,100,79,79,100,64,100,79,64]",1561119006
ada walk in shower,1,1,110,59.09,2.72,https://bestbath.com/,51,0.24,140,1,10100000,"[100,64,50,36,79,100,79,79,100,64,100,79]",1561118496
wheelchair accessible shower,4,4,720,66.16,2.16,https://bestbath.com/products/showers/,50,0.23,108,1,316000000,"[72,58,72,100,88,88,72,72,48,72,72,88]",1560980995
what is a shower pan,2,2,390,81.95,1.8,https://bestbath.com/types-shower-pans/,50,0.23,91,0.91,75700000,"[81,81,81,81,81,81,81,54,67,81,81,100]",1561001966
walk in tub,28,28,33100,79.46,14.43,https://bestbath.com/products/tubs/walk-in-tubs/,49,0.23,716,1,175000000,"[82,67,55,55,67,55,67,67,67,100,82,82]",1562802168
shower tub inserts,9,9,1600,78.28,1.11,https://bestbath.com/products/tubs/shower-tub-combos/,48,0.22,53,1,7270000,"[84,84,84,84,84,84,68,84,84,100,100,100]",1560962682
shower basin,10,10,1600,81.7,0.91,https://bestbath.com/products/showers/pans/,48,0.22,43,1,73700000,"[84,68,68,84,84,68,84,68,68,84,84,100]",1560962798
bathtub kit,6,6,880,80.52,0.61,https://bestbath.com/products/tub-surrounds/,44,0.2,26,1,68900000,"[88,88,72,88,88,88,72,88,72,88,88,100]",1560976405
one piece shower tub combo,5,5,880,76.94,0.7,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,44,0.2,30,1,13300000,"[72,58,72,72,88,88,88,88,72,100,100,88]",1560976052
shower water stopper,3,3,480,58.65,0.7,https://bestbath.com/product/waterstopper-kit/,43,0.2,30,1,9760000,"[66,81,81,81,100,100,81,66,66,81,66,66]",1560994243
different types of shower pans,1,1,90,73.1,0.75,https://bestbath.com/types-shower-pans/,42,0.19,31,1,9010000,"[11,44,22,56,22,22,11,44,33,100,11,11]",1561163299
handicap shower enclosures,1,1,90,64.26,2.77,https://bestbath.com/products/showers/,42,0.19,117,1,649000,"[100,12,6,18,29,100,6,6,6,6,29,6]",1561158831
30x30 shower,2,2,320,73.99,0.62,https://bestbath.com/product/multi-piece-curbed-30x30-shower-curbed-threshold-6-curb-height/,41,0.19,25,1,2870000,"[66,54,54,66,54,44,44,36,54,81,100,66]",1561015632
30 x 30 shower stall,2,2,320,81.41,0.58,https://bestbath.com/product/multi-piece-curbed-30x30-shower-curbed-threshold-6-curb-height/,41,0.19,24,1,16000000,"[100,67,82,82,67,100,100,67,82,82,82,67]",1561016221
www bestbath com,1,1,50,73.63,1.9,https://bestbath.com/,40,0.18,76,0.5,1580000,"[20,20,100,20,40,40,20,100,20,60,100,40]",1562614865
best bath handicap showers,1,1,50,53.32,0,https://bestbath.com/,40,0.18,0,0,114000000,"[33,33,33,100,33,33,33,100,33,33,100,0]",1561357931
36 x 48 shower base,7,7,1000,80.65,0.82,https://bestbath.com/product/barrier-free-48x36-shower-pan-traditional-threshold-12-curb-height-p4836b5t/,40,0.18,32,1,89,"[68,55,55,68,77,77,68,68,68,100,100,100]",1560972611
showers,29,29,27100,83.73,0.81,https://bestbath.com/products/showers/,40,0.18,32,1,2090000000,"[100,82,82,100,100,82,82,82,82,100,100,100]",1562805472
shower threshold,8,8,1300,73.18,0.86,https://bestbath.com/selecting-proper-shower-threshold/,39,0.18,33,1,20100000,"[62,81,81,81,81,62,62,62,62,100,81,100]",1560966130
one piece tub shower units,8,8,1300,74.67,0.63,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,39,0.18,24,1,7580000,"[100,81,81,81,81,81,55,81,81,100,55,81]",1560966502
30x30 shower base,5,5,720,74.9,0.75,https://bestbath.com/product/curbed-30x30-shower-pan-6-curb-height-np3030/,36,0.16,27,1,96,"[82,82,67,67,82,82,100,67,67,100,82,100]",1560984071
large shower pans,6,6,720,75.42,0.83,https://bestbath.com/products/showers/pans/,36,0.16,29,1,31800000,"[67,67,67,67,82,67,82,82,67,100,82,100]",1560980538
30 x 30 shower base,5,5,720,77.98,0.99,https://bestbath.com/product/curbed-30x30-shower-pan-6-curb-height-np3030/,36,0.16,35,1,87060,"[82,82,82,67,67,82,82,100,67,67,100,82]",1560980761
54x36 shower base,2,2,260,68.53,0.75,https://bestbath.com/product/traditional-54-x-36-shower-pan-traditional-threshold-34-curb-height-p5436b75t/,33,0.15,25,1,60,"[54,67,54,44,67,67,67,100,67,82,82,82]",1561030729
30x30 shower stall,2,2,260,79,0.77,https://bestbath.com/product/multi-piece-curbed-30x30-shower-curbed-threshold-6-curb-height/,33,0.15,26,1,94,"[44,67,36,54,67,67,100,67,44,54,54,82]",1561028224
neo angle shower rod,11,11,720,84.47,0.81,https://bestbath.com/product/corner-curtain-rod-kits/,33,0.15,27,1,96,"[82,82,82,100,100,82,67,67,67,82,82,100]",1560981165
universal design bathroom plans,1,1,70,75.42,0,http://bestbath.com/wp-content/uploads/2017/11/BB_UD-eBook_Top10.pdf,32,0.15,0,0.23,29700000,"[14,29,14,0,14,14,0,0,14,100,14,14]",1561318570
54x30 shower,1,1,70,69.68,1.13,https://bestbath.com/product/multi-piece-barrier-free-54-x-30-x-80-1-4-shower-beveled-threshold-3-4-curb-height-n5lbs5430b75b/,32,0.15,37,1,75,"[14,100,14,14,14,14,43,14,14,14,14,43]",1561231683
best bath idaho,1,1,40,68.12,3.75,https://bestbath.com/,32,0.15,120,0.25,24300000,"[11,33,22,100,11,22,11,56,11,33,11,11]",1561446487
best bath trim kit,1,1,40,75.27,0.25,https://bestbath.com/product/3-trim-kit/,32,0.15,8,1,32800000,"[14,29,43,14,14,14,14,100,14,14,14,14]",1562767347
bath roll,1,1,70,74.29,0,https://bestbath.com/products/showers/barrier-free/,32,0.15,0,0.8,261000000,"[33,100,33,33,33,33,100,33,67,33,33,100]",1562757648
best bath systems boise idaho,1,1,40,70.57,0,https://bestbath.com/,32,0.15,0,0.14,2700000,"[0,14,100,0,14,29,14,14,14,29,14,57]",1561474965
shower bath combo unit,1,1,70,78.86,1.49,https://bestbath.com/products/tubs/shower-tub-combos/,32,0.15,49,1,93,"[11,11,11,44,11,11,22,100,33,11,11,22]",1561230518
best bath systems idaho,1,1,40,63.75,0,https://bestbath.com/,32,0.15,0,0.56,4170000,"[50,100,50,50,50,50,50,50,100,50,100,50]",1562602212
what are shower pans made of,1,1,70,68.02,1.47,https://bestbath.com/types-shower-pans/,32,0.15,48,0.94,30600000,"[33,100,100,33,33,33,33,100,67,33,33,33]",1561230495
best bath systems walk in tub,1,1,40,65.19,0,https://bestbath.com/products/tubs/walk-in-tubs/,32,0.15,0,1,9060000,"[57,57,14,14,100,14,14,14,14,14,71,14]",1562602526
new bath walk in tubs,1,1,70,59.28,17.75,https://bestbath.com/products/tubs/walk-in-tubs/,32,0.15,583,1,19200000,"[11,100,11,33,11,22,11,11,44,11,11,56]",1561220507
bathtub shower combination,5,5,590,84.36,1,https://bestbath.com/products/tubs/shower-tub-combos/,29,0.13,29,1,204000000,"[82,82,67,82,82,67,67,82,67,82,100,67]",1560986389
36 x 36 shower base,7,7,720,81.34,0.99,https://bestbath.com/product/barrier-free-36x36-shower-pan-traditional-threshold-0-5-curb-height-2/,28,0.13,28,1,78,"[82,82,82,82,82,82,82,67,67,82,100,82]",1560980705
low threshold shower,2,2,210,76.02,2.58,https://bestbath.com/products/showers/curbed/,27,0.12,70,1,10300000,"[100,81,100,65,81,65,81,65,65,81,65,81]",1561048603
ada tub,11,11,590,70.67,4.96,https://bestbath.com/products/tubs/,27,0.12,137,0.98,32600000,"[67,82,67,82,100,67,82,82,82,100,100,100]",1560984907
shower window trim kit,4,4,390,73.1,0.43,https://bestbath.com/product/window-trim-kits/,27,0.12,11,1,17700000,"[81,67,67,81,81,67,67,81,67,81,100,81]",1561003995
bathtub and surround,9,9,880,84.02,0.94,https://bestbath.com/products/tub-surrounds/,26,0.12,24,1,12300000,"[77,55,55,68,68,77,68,77,68,100,77,77]",1560975259
shower tub surround,10,10,880,81.95,1.05,https://bestbath.com/products/tub-surrounds/,26,0.12,27,1,18200000,"[100,81,37,37,45,45,45,62,55,45,62,62]",1560976811
best bath shower kit,1,1,30,78.04,0,https://bestbath.com/,24,0.11,0,1,86600000,"[11,11,33,11,78,11,56,100,0,11,11,11]",1561623818
premade shower pans,6,6,480,77.82,1.08,https://bestbath.com/products/showers/pans/,24,0.11,25,1,1750000,"[66,66,54,66,66,100,66,81,81,100,100,81]",1560993627
standard shower pan sizes,6,6,480,73.27,0.99,https://bestbath.com/products/showers/pans/,24,0.11,23,1,24800000,"[82,67,54,67,67,67,67,67,67,100,100,82]",1560993735
60 x 48 shower base,5,5,480,77.11,1.27,https://bestbath.com/product/barrier-free-60-x-48-shower-pan-traditional-threshold-1-curb-height-p6048b1t-v2/,24,0.11,30,1,35070,"[67,44,54,67,82,67,67,67,67,100,100,82]",1560993384
best bath shower base,1,1,30,69.83,1.96,https://bestbath.com/products/showers/pans/,24,0.11,47,1,96700000,"[50,25,25,25,25,100,75,25,75,25,25,25]",1561580203
3 piece tub surround,7,7,590,83.57,0.74,https://bestbath.com/wp-content/uploads/2017/01/1059_MP-Tub-Shwr_LO-RES-Final.pdf,23,0.1,17,1,25100000,"[82,67,67,67,100,67,82,67,67,82,82,82]",1560986924
tub shower combo units,3,3,260,79.42,0.76,https://bestbath.com/products/tubs/shower-tub-combos/,23,0.1,17,1,4720000,"[81,81,52,66,81,52,100,100,100,100,81,100]",1561028384
no threshold shower pan,1,1,50,66.28,1.46,https://bestbath.com/products/showers/pans/,23,0.1,34,1,2190000,"[29,2,29,2,8,8,2,100,23,44,2,29]",1562616782
30 shower pan,3,3,260,77.36,1.15,https://bestbath.com/product/curbed-30x30-shower-pan-6-curb-height-np3030/,23,0.1,26,1,94300000,"[54,36,36,36,67,54,67,82,54,100,82,82]",1561027453
universal design bathroom floor plans,1,1,50,73.13,0.62,http://bestbath.com/wp-content/uploads/2017/11/BB_UD-eBook_Top10.pdf,23,0.1,14,0.43,53200000,"[100,25,25,100,25,75,50,25,50,25,25,50]",1562609732
bathtub wall kit,11,11,480,85,0.5,https://bestbath.com/products/tub-surrounds/,22,0.1,11,1,35100000,"[100,81,54,100,81,66,100,81,44,66,54,81]",1561000937
best tub shower combo,4,4,320,85.63,0.86,https://bestbath.com/products/tubs/shower-tub-combos/,22,0.1,19,1,87,"[67,44,44,54,81,67,67,67,44,81,100,81]",1561014779
ability ease,11,11,480,66.16,0,https://bestbath.com/dealer/ease-ability-renovations/,22,0.1,0,0.01,411000000,"[100,100,100,81,81,66,81,81,81,100,81,81]",1560997667
ada shower pan,11,11,480,59.68,3.16,https://bestbath.com/,22,0.1,71,1,7550000,"[81,81,66,81,81,81,81,66,81,100,81,81]",1560992373
handicap shower inserts,2,2,170,70.21,2.43,https://bestbath.com/products/showers/,22,0.1,53,1,902000,"[54,54,35,81,65,81,42,81,65,100,65,42]",1561067231
shower tub combination,11,11,480,82.15,0.98,https://bestbath.com/products/tubs/shower-tub-combos/,22,0.1,22,1,23900000,"[66,66,66,100,100,100,81,66,81,100,81,100]",1560993756
garden tub shower,10,10,720,78.28,0.56,https://bestbath.com/products/tubs/garden-tubs/,21,0.09,12,1,351000000,"[58,58,48,72,72,72,58,72,72,100,72,72]",1560981693
bathtub shower insert,10,10,720,87.02,1.11,https://bestbath.com/products/tubs/shower-tub-combos/,21,0.09,23,1,9690000,"[88,72,58,72,58,72,72,72,72,100,72,100]",1560980492
one piece tub shower,8,8,720,73.69,0.57,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,21,0.09,12,1,71200000,"[100,68,37,37,45,45,45,37,37,55,45,37]",1560985512
bath and shower kit,10,10,720,83.82,0.85,https://bestbath.com/products/tubs/shower-tub-combos/,21,0.09,18,1,134000000,"[82,67,67,100,100,100,100,100,82,100,100,82]",1560982519
one piece shower tub,8,8,720,75.65,0.63,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,21,0.09,13,1,67100000,"[100,68,46,25,25,31,31,31,25,25,38,31]",1560981766
shower base sizes standard,8,8,720,76.53,0.95,https://bestbath.com/products/showers/pans/,21,0.09,20,1,19900000,"[82,67,67,67,82,82,67,67,55,100,100,67]",1560981286
one piece bathtub,9,9,720,81.1,0.57,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,21,0.09,12,1,74300000,"[88,58,58,58,58,72,88,88,88,88,88,100]",1560981313
bathtub wall surround,12,12,1600,84.51,0.93,https://bestbath.com/products/tub-surrounds/,20,0.09,19,1,31400000,"[30,30,34,34,45,55,66,66,34,100,83,83]",1560963219
36 x 48 shower pan,6,6,390,82.05,0.93,https://bestbath.com/product/barrier-free-48x36-shower-pan-traditional-threshold-12-curb-height-p4836b5t/,19,0.08,18,1,18900000,"[66,54,54,100,66,54,54,66,66,81,81,100]",1561003110
1 piece tub shower,6,6,390,73.75,0.81,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,19,0.08,15,1,92,"[66,54,54,44,54,66,66,81,81,100,81,100]",1561003723
commercial showers,2,2,140,65.65,1.03,https://bestbath.com/,18,0.08,18,1,87600000,"[100,65,65,52,65,65,82,82,52,82,100,82]",1561093419
42x60 shower pan,11,11,390,80.42,1.14,https://bestbath.com/products/showers/pans/,18,0.08,20,1,58,"[44,54,44,36,54,36,44,36,44,82,67,100]",1561002939
cheap shower tub combo,3,3,210,81.85,0.6,https://bestbath.com/products/tubs/shower-tub-combos/,18,0.08,11,1,30400000,"[65,65,54,100,81,81,65,42,42,100,100,100]",1561052772
bestbath shower trim kit,1,1,40,58.89,1.37,https://bestbath.com/products/accessories/,18,0.08,25,1,59,"[14,57,100,14,14,100,43,14,14,14,14,71]",1561450724
shower curb height,11,11,390,74.05,0.46,https://bestbath.com/product/curbed-60x32-shower-pan-curbed-threshold-5-75-curb-height/,18,0.08,8,1,4610000,"[81,54,66,66,66,66,66,66,66,100,81,100]",1561005194
ada fiberglass shower,1,1,40,64.46,2.69,https://bestbath.com/,18,0.08,50,1,91,"[57,57,71,57,100,71,71,43,29,57,100,57]",1561447061
barrier free shower base,2,2,140,66.94,3.08,https://bestbath.com/products/showers/barrier-free/,18,0.08,56,1,11400000,"[67,81,67,100,81,52,81,67,43,67,67,52]",1561088809
national fiberglass shower stalls,1,1,40,69.35,0,https://bestbath.com/,18,0.08,0,1,557000,"[33,33,33,100,67,33,33,33,33,67,33,33]",1561528749
tub,37,37,27100,88.45,1.12,https://bestbath.com/products/tubs/walk-in-tubs/,18,0.08,21,1,578000000,"[82,82,82,82,82,82,82,82,82,100,82,82]",1562796165
commercial shower stalls,2,2,140,63.53,2.17,https://bestbath.com/who-we-serve/,18,0.08,39,1,3870000,"[43,52,52,43,67,52,100,52,52,81,67,67]",1561089612
grab bars,30,30,12100,81.53,2.16,https://bestbath.com/products/grab-bars/,18,0.08,39,1,203000000,"[82,82,82,100,100,82,100,100,82,100,82,100]",1562803950
30 shower stall,4,4,260,74.33,0.57,https://bestbath.com/product/multi-piece-curbed-30x30-shower-curbed-threshold-6-curb-height/,18,0.08,10,1,23400000,"[52,100,81,66,100,100,100,81,52,100,81,81]",1561028753
low profile shower pan,4,4,260,66.61,1.37,https://bestbath.com/product/barrier-free-60x30-shower-pan-beveled-threshold-0-75-curb-height-3/,18,0.08,24,1,8440000,"[54,36,36,67,44,67,44,54,67,82,100,82]",1561027104
ada fiberglass shower stalls,1,1,40,67.02,1.01,https://bestbath.com/,18,0.08,18,1,94,"[60,40,60,20,20,40,60,20,20,20,100,20]",1561453757
recessed soap dish,11,11,390,79.71,0.58,https://bestbath.com/product/recessed-soap-dish/,18,0.08,10,1,3400000,"[81,81,100,81,100,54,54,66,54,66,81,66]",1561004111
shower barrier,2,2,140,68.41,0.94,https://bestbath.com/products/showers/barrier-free/,18,0.08,17,1,40800000,"[52,43,52,43,52,67,52,100,81,81,52,67]",1561094690
low curb shower base,1,1,40,71.58,1.67,https://bestbath.com/products/showers/pans/,18,0.08,31,1,5680000,"[11,33,22,11,11,11,11,100,11,33,22,100]",1561449216
low curb shower pan,1,1,40,74.77,2.25,https://bestbath.com/products/showers/pans/,18,0.08,42,1,3600000,"[33,33,33,33,67,67,33,33,33,67,100,67]",1561448257
custom shower pan,15,15,3600,59.63,1.17,https://bestbath.com/types-shower-pans/,18,0.08,21,1,28500000,"[54,44,44,54,54,54,54,54,67,100,81,81]",1562805730
48x60 shower pan,10,10,590,78.13,1.54,https://bestbath.com/product/barrier-free-60-x-48-shower-pan-traditional-threshold-1-curb-height-p6048b1t-v2/,17,0.08,27,1,74,"[100,54,67,82,67,67,82,82,67,100,100,100]",1560986064
3 piece tub surround,8,8,590,83.57,0.74,https://bestbath.com/products/tub-surrounds/,17,0.08,13,1,25100000,"[82,67,67,67,100,67,82,67,67,82,82,82]",1560986924
one piece tub and shower,9,9,590,77.35,0.66,https://bestbath.com/product/single-piece-tub-shower-32x60x72-showertub-combo-2/,17,0.08,11,1,63500000,"[32,32,26,39,39,32,88,58,39,72,100,100]",1560987223
shower pan with seat,9,9,590,73.45,0.69,https://bestbath.com/products/showers/pans/,17,0.08,12,1,149000000,"[82,67,54,82,82,67,67,67,54,100,100,100]",1560987202
bathtub shower kit,8,8,590,81.86,0.87,https://bestbath.com/products/tubs/shower-tub-combos/,17,0.08,15,1,39300000,"[100,81,81,100,100,100,81,81,81,100,100,100]",1560986667
36x36 shower pan,8,8,590,80.33,1.16,https://bestbath.com/product/barrier-free-36x36-shower-pan-traditional-threshold-0-5-curb-height-2/,17,0.08,20,1,529000,"[67,55,55,67,67,55,67,67,67,100,100,82]",1560986287
tub shower kit,8,8,590,82.2,0.89,https://bestbath.com/products/tubs/shower-tub-combos/,17,0.08,15,1,100,"[82,82,82,67,67,67,67,82,67,100,82,100]",1560986673
best bath systems boise,1,1,20,72.91,0,https://bestbath.com/,16,0.07,0,0,2580000,"[50,100,50,50,50,50,50,0,0,0,50,0]",1561859514
shower tray base,6,6,320,78.24,1.05,https://bestbath.com/products/showers/pans/,16,0.07,16,1,33200000,"[67,54,67,67,67,67,81,81,67,100,67,81]",1561014733
bathtub surround panels,6,6,320,81.99,1.04,https://bestbath.com/products/tub-surrounds/,16,0.07,16,1,2830000,"[29,36,66,44,36,24,29,54,100,66,54,54]",1561014658
best bath ada shower,1,1,20,55.64,5.11,https://bestbath.com/,16,0.07,81,1,17900000,"[14,29,14,14,29,57,14,29,14,100,14,43]",1561770371
best bath barrier free shower,1,1,20,57.32,4.65,https://bestbath.com/products/showers/barrier-free/,16,0.07,74,1,11600000,"[20,60,20,60,20,20,20,20,20,20,100,60]",1561772439
